ProtID,experiment,Cell.membrane,Cytoplasm,Endoplasmic.reticulum,Extracellular,Golgi.apparatus,Lysosome/Vacuole,Mitochondrion,Nucleus,Peroxisome,Plastid
design_29,LLPhyScore features,0.110705025,0.12983559,0.13145041,0.25114843,0.053691857,0.021826318,0.03709892,0.18791987,0.004370355,0.07195322
design_3,LLPhyScore features,0.10590309,0.16797248,0.056075003,0.23831144,0.024162803,0.04051792,0.047456797,0.19041717,0.008606617,0.12057669
design_30,LLPhyScore features,0.20079426,0.33636296,0.017298982,0.011034346,0.032152,0.02143509,0.022958307,0.3483489,0.003914753,0.0057004434
design_31,LLPhyScore features,0.07794292,0.1755624,0.08355874,0.24566366,0.014251892,0.037037935,0.03414242,0.16712049,0.0037053414,0.16101426
design_32,LLPhyScore features,0.10673243,0.20878713,0.06825233,0.23153368,0.026729334,0.012604773,0.014256287,0.23013765,0.0009822666,0.09998413
design_33,LLPhyScore features,0.17134765,0.34218442,0.030588532,0.008373584,0.058113612,0.0039074104,0.026213914,0.35624292,0.0016287338,0.0013991282
design_34,LLPhyScore features,0.12601362,0.15033172,0.07574709,0.2577598,0.011584455,0.041209362,0.016591677,0.18138337,0.0018484587,0.13753046
design_35,LLPhyScore features,0.16170974,0.25311774,0.04659887,0.084082924,0.082403824,0.0130835725,0.047678996,0.29136956,0.01597325,0.003981551
design_36,LLPhyScore features,0.09530292,0.16572887,0.067308016,0.2587734,0.029664483,0.035967126,0.030185768,0.22406863,0.008366322,0.08463443
design_37,LLPhyScore features,0.1857951,0.34057304,0.026769266,0.008775049,0.054219287,0.005621683,0.02111829,0.35420382,0.001498323,0.0014262187
design_38,LLPhyScore features,0.10123215,0.17751275,0.10594932,0.24807686,0.069501765,0.014009851,0.020483542,0.24049982,0.0013155,0.021418422
design_39,LLPhyScore features,0.09758052,0.14213368,0.079284646,0.23242727,0.02763149,0.057168253,0.038625672,0.16182996,0.0097155655,0.15360294
design_4,LLPhyScore features,0.11453832,0.16645348,0.073795356,0.21296932,0.07691609,0.04812358,0.038115725,0.20213088,0.012030671,0.05492664
design_40,LLPhyScore features,0.108405635,0.115308434,0.10498068,0.24292505,0.026218863,0.062491234,0.03226737,0.1457768,0.0077537885,0.1538722
design_41,LLPhyScore features,0.16677743,0.14069505,0.13269344,0.24392244,0.04580955,0.0406497,0.014072461,0.0971845,0.002273895,0.11592151
design_42,LLPhyScore features,0.22398426,0.23487647,0.02928871,0.1400063,0.014355734,0.032581322,0.019777678,0.25065964,0.0020509963,0.05241883
design_43,LLPhyScore features,0.09336902,0.18130535,0.086769596,0.25109977,0.054372206,0.009616,0.027658677,0.24126887,0.0043349727,0.0502056
design_44,LLPhyScore features,0.19616336,0.18849863,0.11436841,0.16930372,0.05685976,0.011049248,0.015686804,0.23024113,0.002768051,0.01506084
design_45,LLPhyScore features,0.2070395,0.34541282,0.011374511,0.013324402,0.019395897,0.016076542,0.01906363,0.35979396,0.00391691,0.0046018143
design_46,LLPhyScore features,0.09831395,0.15031,0.11485007,0.25662342,0.02984004,0.01768364,0.016221186,0.21614781,0.0025945585,0.09741529
design_47,LLPhyScore features,0.21348232,0.32962844,0.0102957385,0.011711901,0.018680327,0.044576664,0.013406661,0.34202346,0.005712805,0.01048169
design_48,LLPhyScore features,0.14951162,0.12862365,0.15764035,0.24465653,0.0660202,0.018351765,0.01827937,0.18203574,0.0053246906,0.029556176
design_49,LLPhyScore features,0.117472045,0.16092344,0.099218085,0.23047748,0.08108348,0.021811185,0.02419189,0.18911578,0.0024780557,0.07322865
design_5,LLPhyScore features,0.19620264,0.28947875,0.06081272,0.017207345,0.07662504,0.009561005,0.016619591,0.32524863,0.0036773216,0.004566951
design_50,LLPhyScore features,0.17724814,0.3404993,0.038609203,0.008646363,0.051554054,0.0049162814,0.01981165,0.35616606,0.00105903,0.0014898353
design_51,LLPhyScore features,0.20148908,0.2586368,0.042239465,0.06500948,0.039715867,0.02165512,0.048219975,0.3043715,0.0105287125,0.008133978
design_52,LLPhyScore features,0.09077318,0.14697072,0.0675944,0.2516565,0.044941705,0.040740773,0.040043317,0.20064783,0.0102815125,0.10634994
design_53,LLPhyScore features,0.107071534,0.1798458,0.07058732,0.25512516,0.02118184,0.035997704,0.02271403,0.21945365,0.007021042,0.0810019
design_54,LLPhyScore features,0.0866151,0.19862205,0.077512965,0.26219392,0.028039968,0.012046491,0.017214965,0.22487408,0.00092692656,0.09195351
design_55,LLPhyScore features,0.15954015,0.094300956,0.12775901,0.21827291,0.054563582,0.06613588,0.036616504,0.10098875,0.042873856,0.09894839
design_56,LLPhyScore features,0.15672146,0.34609705,0.029000932,0.0076858196,0.07180974,0.005645158,0.020640938,0.3583585,0.0024746703,0.0015657549
design_57,LLPhyScore features,0.12149303,0.119713694,0.12522271,0.24660914,0.03666092,0.05372332,0.028299175,0.1510981,0.009442868,0.107737064
design_58,LLPhyScore features,0.15580505,0.35757834,0.021634098,0.009891531,0.041203614,0.015341421,0.023224516,0.36620924,0.0040858523,0.005026351
design_59,LLPhyScore features,0.13725837,0.17270152,0.0688565,0.21667933,0.07748584,0.022883661,0.043748207,0.22260705,0.00857479,0.029204784
