ProtID,Predicted Compartment,Score
Sequence_13,chromosome,0.00023668741
Sequence_13,nucleolus,8.5233945e-16
Sequence_13,nuclear_pore_complex,0.9451595
Sequence_13,cajal_body,4.706743e-08
Sequence_13,rna_granule,1.154404e-33
Sequence_13,cell_junction,0.05449588
Sequence_13,transcriptional,4.6619784e-09
Sequence_14,nuclear_speckle,1.3391842e-16
Sequence_14,p-body,0.9166352
Sequence_14,pml-body,2.7215528e-06
Sequence_14,post_synaptic_density,0.0116149355
Sequence_14,stress_granule,0.06946782
Sequence_14,chromosome,3.7603252e-06
Sequence_14,nucleolus,1.5146336e-10
Sequence_14,nuclear_pore_complex,2.5688621e-05
Sequence_14,cajal_body,1.7446846e-12
Sequence_14,rna_granule,1.4958861e-21
Sequence_14,cell_junction,0.00224949
Sequence_14,transcriptional,3.945363e-07
Sequence_15,nuclear_speckle,1.6402173e-11
Sequence_15,p-body,9.779848e-08
Sequence_15,pml-body,1.8404642e-05
Sequence_15,post_synaptic_density,1.3015862e-11
Sequence_15,stress_granule,1.3674855e-09
Sequence_15,chromosome,0.51116574
Sequence_15,nucleolus,0.48881564
Sequence_15,nuclear_pore_complex,1.5889829e-07
Sequence_15,cajal_body,9.996865e-09
Sequence_15,rna_granule,2.6070671e-20
Sequence_15,cell_junction,1.6807415e-11
Sequence_15,transcriptional,3.2317915e-10
Sequence_16,nuclear_speckle,4.1806754e-07
Sequence_16,p-body,0.00079650397
Sequence_16,pml-body,9.493318e-07
Sequence_16,post_synaptic_density,3.4789047e-13
Sequence_16,stress_granule,3.5501074e-08
Sequence_16,chromosome,0.6789223
Sequence_16,nucleolus,5.797008e-12
Sequence_16,nuclear_pore_complex,0.31944707
Sequence_16,cajal_body,1.023115e-09
Sequence_16,rna_granule,1.0236974e-23
Sequence_16,cell_junction,0.00083269697
Sequence_16,transcriptional,8.119173e-10
Sequence_17,nuclear_speckle,1.8584002e-05
Sequence_17,p-body,0.6346478
Sequence_17,pml-body,0.00024896453
Sequence_17,post_synaptic_density,0.0014561621
Sequence_17,stress_granule,0.3611815
Sequence_17,chromosome,7.821325e-06
Sequence_17,nucleolus,2.3599416e-06
Sequence_17,nuclear_pore_complex,3.736516e-05
Sequence_17,cajal_body,0.0023985575
Sequence_17,rna_granule,4.30422e-14
Sequence_17,cell_junction,3.0613407e-08
Sequence_17,transcriptional,8.399323e-07
Sequence_18,nuclear_speckle,0.000999125
Sequence_18,p-body,0.0035349405
Sequence_18,pml-body,2.1298537e-07
Sequence_18,post_synaptic_density,5.5841206e-06
Sequence_18,stress_granule,1.047054e-06
Sequence_18,chromosome,1.1329988e-09
Sequence_18,nucleolus,2.1473582e-08
Sequence_18,nuclear_pore_complex,1.3276121e-09
Sequence_18,cajal_body,7.2458064e-08
Sequence_18,rna_granule,8.705647e-21
Sequence_18,cell_junction,0.9954555
Sequence_18,transcriptional,3.4225445e-06
Sequence_19,nuclear_speckle,3.078031e-07
Sequence_19,p-body,0.00066951837
Sequence_19,pml-body,4.2534026e-05
Sequence_19,post_synaptic_density,0.0017055299
Sequence_19,stress_granule,0.9975556
Sequence_19,chromosome,2.4014755e-06
Sequence_19,nucleolus,1.0954158e-07
Sequence_19,nuclear_pore_complex,1.3167654e-05
Sequence_19,cajal_body,7.568155e-06
Sequence_19,rna_granule,2.1300062e-12
Sequence_19,cell_junction,2.820571e-06
Sequence_19,transcriptional,4.4506842e-07
Sequence_20,nuclear_speckle,3.170156e-12
Sequence_20,p-body,5.336752e-05
Sequence_20,pml-body,1.9686138e-07
Sequence_20,post_synaptic_density,0.24264358
Sequence_20,stress_granule,0.0074112876
Sequence_20,chromosome,0.0008479972
Sequence_20,nucleolus,2.1013907e-14
Sequence_20,nuclear_pore_complex,0.12490309
Sequence_20,cajal_body,5.276099e-06
Sequence_20,rna_granule,6.1701185e-20
Sequence_20,cell_junction,0.6241304
Sequence_20,transcriptional,4.844692e-06
Sequence_21,nuclear_speckle,2.2254965e-11
Sequence_21,p-body,6.4439702e-09
Sequence_21,pml-body,2.5528973e-07
Sequence_21,post_synaptic_density,9.901336e-10
Sequence_21,stress_granule,0.007423506
Sequence_21,chromosome,0.9917354
Sequence_21,nucleolus,3.3435379e-06
Sequence_21,nuclear_pore_complex,0.0003129444
Sequence_21,cajal_body,9.309972e-08
Sequence_21,rna_granule,2.2618007e-20
Sequence_21,cell_junction,0.0005244085
Sequence_21,transcriptional,9.1363733e-10
Sequence_22,nuclear_speckle,3.4722464e-10
Sequence_22,p-body,4.5550976e-08
Sequence_22,pml-body,2.4584114e-08
Sequence_22,post_synaptic_density,5.185443e-08
Sequence_22,stress_granule,7.704403e-12
Sequence_22,chromosome,0.5028343
Sequence_22,nucleolus,0.4971628
Sequence_22,nuclear_pore_complex,6.5267907e-09
Sequence_22,cajal_body,2.3882478e-08
Sequence_22,rna_granule,9.748141e-20
Sequence_22,cell_junction,2.7534359e-06
Sequence_22,transcriptional,2.6647861e-12
Sequence_23,nuclear_speckle,2.6927132e-14
Sequence_23,p-body,0.0851046
Sequence_23,pml-body,0.00067896507
Sequence_23,post_synaptic_density,7.754504e-05
Sequence_23,stress_granule,0.13982823
Sequence_23,chromosome,4.0976112e-05
Sequence_23,nucleolus,0.6447532
Sequence_23,nuclear_pore_complex,0.001164499
Sequence_23,cajal_body,0.00023335613
Sequence_23,rna_granule,8.213024e-17
Sequence_23,cell_junction,0.12811859
Sequence_23,transcriptional,2.3080883e-08
Sequence_24,nuclear_speckle,5.1519065e-09
Sequence_24,p-body,0.9209242
Sequence_24,pml-body,5.1765874e-05
Sequence_24,post_synaptic_density,4.976772e-06
Sequence_24,stress_granule,0.00045782427
Sequence_24,chromosome,6.310369e-09
Sequence_24,nucleolus,6.9110385e-08
Sequence_24,nuclear_pore_complex,0.044932246
Sequence_24,cajal_body,0.0011739742
Sequence_24,rna_granule,2.543915e-18
Sequence_24,cell_junction,0.032303505
Sequence_24,transcriptional,0.00015143708
Sequence_25,nuclear_speckle,0.01696115
Sequence_25,p-body,0.42472336
Sequence_25,pml-body,4.9748174e-08
Sequence_25,post_synaptic_density,2.339207e-10
Sequence_25,stress_granule,4.909709e-08
Sequence_25,chromosome,1.1740428e-06
Sequence_25,nucleolus,3.1116193e-05
Sequence_25,nuclear_pore_complex,5.466134e-08
Sequence_25,cajal_body,6.544452e-08
Sequence_25,rna_granule,2.0555942e-20
Sequence_25,cell_junction,0.558283
Sequence_25,transcriptional,8.905599e-08
Sequence_26,nuclear_speckle,1.3571316e-06
Sequence_26,p-body,9.5177384e-08
Sequence_26,pml-body,1.35911415e-08
Sequence_26,post_synaptic_density,1.00822914e-16
Sequence_26,stress_granule,2.1410951e-05
Sequence_26,chromosome,0.5054828
Sequence_26,nucleolus,3.1411495e-11
Sequence_26,nuclear_pore_complex,0.4944943
Sequence_26,cajal_body,1.28695525e-08
Sequence_26,rna_granule,1.5999816e-22
Sequence_26,cell_junction,8.7166605e-08
Sequence_26,transcriptional,9.865635e-10
Sequence_27,nuclear_speckle,0.106471665
Sequence_27,p-body,0.50982577
Sequence_27,pml-body,1.9461591e-05
Sequence_27,post_synaptic_density,3.3980356e-14
Sequence_27,stress_granule,0.00052266254
Sequence_27,chromosome,0.3743252
Sequence_27,nucleolus,0.008795717
Sequence_27,nuclear_pore_complex,3.782543e-07
Sequence_27,cajal_body,1.4305708e-05
Sequence_27,rna_granule,7.003151e-08
Sequence_27,cell_junction,8.936697e-06
Sequence_27,transcriptional,1.5914782e-05
Sequence_28,nuclear_speckle,1.8605265e-08
Sequence_28,p-body,0.8649102
Sequence_28,pml-body,4.767106e-06
Sequence_28,post_synaptic_density,1.3448238e-08
Sequence_28,stress_granule,0.11935844
Sequence_28,chromosome,0.0012944922
Sequence_28,nucleolus,0.00012236324
Sequence_28,nuclear_pore_complex,0.014309501
Sequence_28,cajal_body,6.571876e-08
Sequence_28,rna_granule,7.0544634e-13
Sequence_28,cell_junction,4.196955e-11
Sequence_28,transcriptional,7.869407e-08
Sequence_29,nuclear_speckle,0.00074858504
Sequence_29,p-body,0.08071878
Sequence_29,pml-body,2.4331615e-07
Sequence_29,post_synaptic_density,5.081759e-05
Sequence_29,stress_granule,7.6427796e-08
Sequence_29,chromosome,0.0017449753
Sequence_29,nucleolus,2.1167123e-06
Sequence_29,nuclear_pore_complex,0.00038153667
Sequence_29,cajal_body,3.6749796e-07
Sequence_29,rna_granule,1.00967725e-17
Sequence_29,cell_junction,0.9163525
Sequence_29,transcriptional,2.0549324e-08
Sequence_30,nuclear_speckle,2.2873894e-10
Sequence_30,p-body,0.0020562354
