ProtID,experiment,cajal_body,cell_junction,chromosome,nuclear_pore_complex,nuclear_speckle,nucleolus,p-body,pml-body,post_synaptic_density,rna_granule,stress_granule,transcriptional
design_28,original+LLPhyScore features,1.1335023e-05,1.859336e-07,9.709555e-07,0.34861022,1.7428704e-10,7.1704225e-09,0.0075749136,3.1614416e-11,1.9442392e-09,7.465513e-19,0.64380234,3.350375e-08
design_29,original+LLPhyScore features,1.0606118e-05,1.5662506e-07,1.2968265e-05,0.7426705,2.13707e-09,2.7888322e-10,0.058386747,6.597574e-12,8.058222e-09,2.773567e-20,0.19891904,1.3562219e-09
design_3,original+LLPhyScore features,3.6730492e-07,1.0680699e-11,0.41095093,0.0028158822,2.6655534e-11,0.0019137216,0.58401406,1.710191e-09,6.345997500000001e-22,7.938341e-16,0.0003050663,3.8231533e-08
design_30,original+LLPhyScore features,0.0010330222,9.711826e-11,0.82416487,0.00022458711,0.0041640177,0.073349975,0.08347524,1.469297e-06,2.8569827e-06,4.8035847e-05,0.013535904,4.4630756e-08
design_31,original+LLPhyScore features,0.0008986208,4.452499e-05,0.00025263042,0.05492022,5.4285274e-06,2.936957e-07,0.41374683,4.1299478e-07,9.357578e-07,2.719703e-11,0.5301178,1.233027e-05
design_32,original+LLPhyScore features,5.2892013e-08,3.550516e-11,0.0033523112,0.057167117,5.1467064e-10,2.6848261e-09,0.523046,1.8895947e-09,6.559104e-07,6.416357e-17,0.41643378,2.873981e-10
design_33,original+LLPhyScore features,2.496834e-06,3.2786556e-13,0.0024974532,0.0031136859,1.3197456e-10,4.304393e-05,0.77388614,4.978407e-10,7.567636e-12,1.4470956e-13,0.2204572,1.2053175e-09
design_34,original+LLPhyScore features,0.001322793,7.3743256e-09,0.002840986,0.6943393,0.0003316821,6.3962625e-07,0.06379374,5.0488818e-09,2.9223928e-12,8.8750466e-14,0.23737085,5.1579494e-08
design_35,original+LLPhyScore features,1.827476e-06,1.6595071e-09,0.02526534,0.00043481524,0.00027344123,3.0188754e-05,0.026011152,1.7879386e-06,8.146263e-11,6.2651294e-11,0.94798136,7.0264264e-08
design_36,original+LLPhyScore features,0.00035027525,4.37118e-05,0.0030324876,0.037919994,9.9195684e-05,3.1546973e-05,0.057064693,5.4997432e-05,3.6854033e-08,8.434198e-09,0.9014028,2.7155062e-07
design_37,original+LLPhyScore features,1.729368e-06,3.0476063e-08,0.002663531,0.00089667656,3.0246494e-09,0.00071070326,0.0027675403,1.9205721e-09,2.9442083e-14,9.56585e-15,0.9929598,6.0122e-11
design_38,original+LLPhyScore features,2.133312e-06,6.0109433e-09,0.29365247,7.846458e-05,3.0619435e-06,0.0007310363,0.46915194,4.2980864e-07,3.6656774e-14,1.2323824e-08,0.23638031,1.17718116e-07
design_39,original+LLPhyScore features,2.2048541e-06,3.237951e-09,2.786689e-07,4.092257e-06,2.2276828e-07,5.68875e-05,0.7914214,6.4615318e-09,6.0386746e-08,1.4574017e-11,0.20851496,7.833888e-09
design_4,original+LLPhyScore features,1.0801174e-05,4.0239893e-06,0.00016941593,0.0005769247,0.000117841475,1.3465463e-07,0.3613234,7.088666e-08,0.00048481819,1.2326852e-09,0.6372637,4.888908e-05
design_40,original+LLPhyScore features,8.17224e-07,8.7426386e-08,0.21965393,1.7993739e-06,2.9255122e-07,0.014126116,0.12014629,1.0886149e-05,1.6094356e-14,3.6549028e-07,0.6460494,9.847545e-06
design_41,original+LLPhyScore features,1.9331033e-08,3.8348508e-06,2.3545434e-05,0.17452694,0.00016604814,8.710914e-08,0.46499926,1.1443271e-07,7.357205e-08,3.957371e-16,0.3602801,3.2873036e-08
design_42,original+LLPhyScore features,2.0369218e-06,0.0009190129,2.9943683e-09,0.0005199315,4.2072394e-11,5.3926548e-09,0.5654157,1.7248776e-10,1.6503758e-05,1.426433e-17,0.43312675,8.31521e-08
design_43,original+LLPhyScore features,0.022161163,1.5126876e-10,0.001059298,0.07153719,0.0007653758,0.00054178067,0.15804379,5.480277e-07,9.678109e-07,4.2945753e-10,0.7458898,1.4020667e-07
design_44,original+LLPhyScore features,8.395373e-08,0.0001349478,5.0382287e-06,0.047267683,1.5710262e-13,3.0920497e-09,0.7351489,5.4052934e-12,7.587897e-09,5.0282632e-20,0.21744335,4.476648e-10
design_45,original+LLPhyScore features,4.0809214e-06,0.029858533,0.035239596,0.001554089,7.684447e-06,5.4313932e-05,0.7215891,3.038385e-06,1.946398e-12,6.1455764e-11,0.21168908,4.769557e-07
design_46,original+LLPhyScore features,0.0028201083,5.6421627e-06,0.060278274,0.33257172,0.00044526378,0.004094779,0.489122,7.5409785e-05,7.326804e-07,1.1030977e-06,0.11058412,9.189133e-07
design_47,original+LLPhyScore features,2.6687028e-06,2.1044123e-06,7.137798e-07,0.0009792811,1.2068753e-08,1.4580597e-07,0.5307513,5.2455755e-07,1.1834655e-10,1.4299742e-13,0.4682611,2.24726e-06
design_48,original+LLPhyScore features,0.0003606136,4.231599e-07,0.83871645,0.003966505,4.353397e-07,0.043030445,0.103454106,7.7229004e-08,4.4042358e-13,9.580007e-08,0.010470772,1.4408633e-08
design_49,original+LLPhyScore features,1.6494925e-10,5.1478073e-05,1.6613885e-08,0.002055438,1.1754527e-11,1.6863093e-12,0.56269187,1.8637805e-07,2.4272158e-12,3.9356243000000005e-22,0.43518615,1.4818127e-05
design_5,original+LLPhyScore features,1.9671504e-08,4.9602447e-09,0.015659897,0.18372741,1.011078e-11,1.4434145e-09,0.21879274,1.3468153e-08,5.0157475e-13,2.5783826000000003e-16,0.58181995,2.7394602e-08
design_50,original+LLPhyScore features,0.029670505,3.0005056e-06,0.44445962,0.07749278,0.0013296163,0.016533943,0.36873057,0.0011253745,3.6151828e-08,0.0013176266,0.059266873,7.01553e-05
design_51,original+LLPhyScore features,1.540007e-05,0.00021449258,0.0023585092,0.00069030863,0.07782088,1.5408109e-07,0.85778767,1.1522088e-05,1.1294042e-08,2.2125715e-10,0.061051108,4.9977865e-05
design_52,original+LLPhyScore features,8.214264e-06,2.0118926e-13,0.0015419265,0.015791707,3.4722143e-05,3.5095545e-07,0.47852802,4.3939386e-07,2.4273276e-14,1.2665334e-11,0.5040939,7.5139883e-07
design_53,original+LLPhyScore features,3.5153998e-06,1.9262049e-07,0.047975566,0.0007780026,1.2920462e-05,0.0010596655,0.3362588,2.2892123e-06,1.02663556e-07,2.5239078e-06,0.61390597,3.5952033e-07
design_54,original+LLPhyScore features,1.514214e-07,4.101084e-10,1.8145789e-05,0.00078423764,6.2958393e-06,0.0001447356,0.45216295,1.2256752e-09,4.0984796e-07,2.686809e-13,0.5468831,7.2764617e-09
design_55,original+LLPhyScore features,7.918715e-09,2.2514403e-05,1.5169559e-06,0.049400903,2.214835e-07,7.822289e-14,0.3733902,7.2033632e-09,2.3550621e-09,1.8771847e-18,0.57717437,1.0307395e-05
design_56,original+LLPhyScore features,4.675939e-05,1.1855343e-10,0.0036295708,3.3887181e-06,0.000248598,0.00093138457,0.95546585,1.313029e-06,1.2271571e-16,6.0419945e-09,0.039672628,5.640882e-07
design_57,original+LLPhyScore features,3.7104698e-08,5.065557700000001e-16,0.4007897,9.800875e-06,4.5861016e-05,0.00023154847,0.30409914,3.686534e-08,3.8102913e-14,7.427136e-07,0.2948232,9.854444e-09
design_58,original+LLPhyScore features,0.0007892561,9.458245e-07,7.796931e-06,0.7454921,1.113509e-11,0.00013332373,0.18079434,3.814667e-10,8.33056e-08,4.678839e-18,0.07278206,4.7546294e-08
design_59,original+LLPhyScore features,6.5348227e-06,1.1268022e-07,0.008694616,0.022872824,3.7134615e-08,0.009252029,0.9380661,3.447548e-09,1.2097688499999999e-17,4.2653305000000004e-16,0.021107804,2.9694974e-08
design_6,original+LLPhyScore features,2.6310063e-06,1.13567274e-10,0.01142941,0.0064083813,9.967047e-06,0.0004883629,0.49200565,2.6563823e-06,4.6143737e-06,5.6671915e-08,0.48964828,5.462571e-09
design_60,original+LLPhyScore features,4.6163885e-11,2.738783e-12,0.012634095,0.10658892,4.2013116e-12,2.60892e-10,0.21287571,4.799714e-12,1.6109666e-11,8.83619e-21,0.66790134,2.4625e-12
